method,task,task_name,phase,iter,frames_total,raw,normalized
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,10,10240,0.8285714387893677,0.47114389895427455
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,20,20480,0.8285714387893677,0.47114389895427455
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,30,30720,0.8285714387893677,0.47114389895427455
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,40,40960,0.8285714387893677,0.47114389895427455
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,50,51200,0.8285714387893677,0.47114389895427455
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,60,61440,0.8346937894821167,0.4900313147602297
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,70,71680,0.8306121826171875,0.47743958163627437
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,80,81920,0.8499999046325684,0.537250589795029
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,90,92160,0.9275509119033813,0.7764949901900032
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,100,102400,0.8397958874702454,0.5057712569851407
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,110,112640,0.8448978662490845,0.5215108314500959
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,120,122880,0.8908162117004395,0.6631686565544938
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,130,133120,0.8857141733169556,0.6474288982095606
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,140,143360,0.8908162117004395,0.6631686565544938
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,150,153600,0.8571427464485168,0.5592862147019397
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,160,163840,0.9857140779495239,0.9559280146662671
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,170,174080,0.9653059840202332,0.8929691651665125
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,180,184320,0.911224365234375,0.7261276899342262
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,190,194560,0.946938693523407,0.8363061822287357
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,200,204800,0.9897958040237427,0.9685201155501781
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,210,215040,0.9367345571517944,0.8048264816588916
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,220,225280,0.9602039456367493,0.8772294068215795
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,230,235520,0.8091837167739868,0.41133289079551993
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,240,245760,0.8999999165534973,0.69150033190336
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,250,256000,0.8642856478691101,0.5813220234888283
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,10,266240,0.8520407676696777,0.3776822452680196
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,20,276480,0.896938681602478,0.566523242553215
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,30,286720,0.9142856597900391,0.6394847762611406
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,40,296960,0.9040815234184265,0.5965660942989103
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,50,307200,0.9091835021972656,0.6180250592335822
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,60,317440,0.9173468351364136,0.6523601050824182
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,70,327680,0.8928570747375488,0.5493559703264259
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,80,337920,0.9051018953323364,0.6008577870067932
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,90,348160,0.896938681602478,0.566523242553215
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,100,358400,0.901020348072052,0.5836907654776329
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,110,368640,0.9224489331245422,0.6738195714123477
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,120,378880,0.8806121945381165,0.49785390294842974
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,130,389120,0.9244896769523621,0.6824029568281135
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,140,399360,0.901020348072052,0.5836907654776329
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,150,409600,0.8928570747375488,0.5493559703264259
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,10,419840,0.9999998807907104,0.9999994069792024
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,20,430080,0.9479591250419617,0.7411164743253128
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,30,440320,0.883673369884491,0.4213193348797339
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,40,450560,0.9418366551399231,0.7106595191846675
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,50,460800,0.9418366551399231,0.7106595191846675
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,60,471040,0.9887754321098328,0.9441620512352178
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,70,481280,0.9846938252449036,0.9238576121483868
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,80,491520,0.9999998807907104,0.9999994069792024
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,90,501760,0.9561223983764648,0.7817256490093736
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,100,512000,0.9530612230300903,0.7664974679494497
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,110,522240,0.9714285731315613,0.8578680368609868
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,120,532480,0.9377549886703491,0.6903547835874378
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,130,542720,0.9999998807907104,0.9999994069792024
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,140,552960,0.9755102396011353,0.8781727724582165
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,150,563200,0.9438773989677429,0.7208114422176843
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,10,573440,0.9275509119033813,0.6712959494969627
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,20,583680,0.960204005241394,0.8194441777720327
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,30,593920,0.9459182024002075,0.754628989866238
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,40,604160,0.9326528310775757,0.6944435355046747
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,50,614400,0.921428382396698,0.6435178186599355
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,60,624640,0.9653059840202332,0.842592034208106
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,70,634880,0.9693876504898071,0.8611106979566704
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,80,645120,0.9663264155387878,0.8472217677523374
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,90,655360,0.971428394317627,0.8703696241884107
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,100,665600,0.9693875312805176,0.8611101570999479
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,110,675840,0.9632652401924133,0.8333331079763656
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,120,686080,0.9673467874526978,0.8518512308682076
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,130,696320,0.9857141375541687,0.9351845416658441
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,140,706560,0.971428394317627,0.8703696241884107
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,150,716800,0.9489794969558716,0.7685181904989322
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,10,727040,0.7857142686843872,0.23450797192791198
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,20,737280,0.7857142686843872,0.23450797192791198
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,30,747520,0.7795917987823486,0.21263669812284947
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,40,757760,0.778571367263794,0.20899141484686404
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,50,768000,0.7632652521133423,0.15431344325963275
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,60,778240,0.7867347002029419,0.23815325520389738
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,70,788480,0.7867346405982971,0.2381530422784724
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,80,798720,0.8377550840377808,0.42041316049466837
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,90,808960,0.8438774943351746,0.44228422137430584
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,100,819200,0.823469340801239,0.3693802592579975
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,110,829440,0.7795917987823486,0.21263669812284947
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,120,839680,0.7826529741287231,0.22357212209995572
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,130,849920,0.7908162474632263,0.2527337495315641
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,140,860160,0.7846938371658325,0.23086268865192655
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,150,870400,0.7520407438278198,0.11421617892549314
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,160,880640,0.7806122303009033,0.21628198139883487
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,170,890880,0.8122447729110718,0.32928278199843286
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,180,901120,0.8193877339363098,0.3547995520049058
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,190,911360,0.7887755036354065,0.24544360883044322
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,200,921600,0.7816326022148132,0.21992705174939528
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,210,931840,0.7816326022148132,0.21992705174939528
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,220,942080,0.7520407438278198,0.11421617892549314
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,230,952320,0.7989795804023743,0.2818955898885974
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,240,962560,0.8295918703079224,0.391251745988485
