method,task,task_name,phase,iter,frames_total,raw,normalized
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,10,10240,0.7867346405982971,0.3698490472794748
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,20,20480,0.8285714387893677,0.49346733349735816
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,30,30720,0.8285714387893677,0.49346733349735816
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,40,40960,0.8285714387893677,0.49346733349735816
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,50,51200,0.8346937298774719,0.511557320417055
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,60,61440,0.8285714387893677,0.49346733349735816
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,70,71680,0.8285714387893677,0.49346733349735816
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,80,81920,0.8306121826171875,0.499497270431171
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,90,92160,0.8295917510986328,0.4964821258460061
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,100,102400,0.8428570032119751,0.5356779487435988
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,110,112640,0.8530610799789429,0.5658286901222137
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,120,122880,0.8663264513015747,0.6050248652563234
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,130,133120,0.8326530456542969,0.5055275596015008
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,140,143360,0.8530610799789429,0.5658286901222137
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,150,153600,0.9193876385688782,0.7618086852014696
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,160,163840,0.9438773989677429,0.8341703940628422
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,170,174080,0.9632651209831238,0.8914567322349073
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,180,184320,0.95714271068573,0.8733663930786933
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,190,194560,0.9530611038208008,0.8613061669745508
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,200,204800,0.9530611038208008,0.8613061669745508
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,210,215040,0.9122447967529297,0.7407032014600908
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,220,225280,0.8704080581665039,0.617085091360466
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,230,235520,0.8918366432189941,0.6804017187028608
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,240,245760,0.9602039456367493,0.8824116507159295
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,250,256000,0.9489794969558716,0.8492459408704082
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,10,266240,0.8948979377746582,0.5573065927756409
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,20,276480,0.9030610918998718,0.5916900714331801
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,30,286720,0.8775509595870972,0.4842405394908519
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,40,296960,0.8775509595870972,0.4842405394908519
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,50,307200,0.9102039337158203,0.6217759604615729
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,60,317440,0.9102039337158203,0.6217759604615729
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,70,327680,0.8908162117004395,0.5401142258049696
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,80,337920,0.8887754678726196,0.5315185444331553
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,90,348160,0.8918366432189941,0.5444123175476374
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,100,358400,0.8959182500839233,0.5616041824047874
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,110,368640,0.9336733818054199,0.7206300620888475
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,120,378880,0.9112244844436646,0.626074554317762
