method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.9302720427513123,0.7835266961739528
finetune,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.7479591369628906,0.21752880087652146
finetune,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9214284420013428,0.6219306884974707
finetune,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.7057822942733765,0.08658906246732798
finetune,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.9187074303627014,0.6088377701054352
finetune,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9510202407836914,0.7650890809863272
finetune,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.7068026661872864,0.08975684893420519
finetune,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9098638892173767,0.5662845664116208
finetune,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.9367345571517944,0.6965737774323213
finetune,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9928569793701172,0.9529137190264487
finetune,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.8112244009971619,0.4139384084903117
finetune,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.8768706917762756,0.40752844958576806
finetune,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8510202765464783,0.2854810985020764
finetune,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.8768705725669861,0.18833962316044658
finetune,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.818027138710022,0.3608122149640386
finetune,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.738095223903656,0.1869058781230287
finetune,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.7942176461219788,0.009819903897502907
finetune,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.7976190447807312,0.02936443661418212
finetune,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8047618269920349,-0.28699606893991036
finetune,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.7557823061943054,0.14217446676566792
finetune,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.8540815114974976,0.5460313209990736
finetune,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.7285714745521545,0.15733900755520497
finetune,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.9132651686668396,0.5826507861028241
finetune,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.9125849008560181,0.580750056673477
finetune,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9625848531723022,0.753362028827774
finetune,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.7710884809494019,0.19593808772392263
finetune,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.7350339293479919,0.17566102617698523
finetune,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.9795916080474854,0.9285706537113236
finetune,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.8673468232154846,0.5881727706557016
finetune,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.815646231174469,0.11292961183287091
finetune,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.7928570508956909,0.006525525648285974
finetune,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.8387755155563354,-0.06278026729636971
finetune,7,"biggrid50-goal(33,10)",4,"biggrid50-goal(21,17)",0.7683672308921814,0.18637957562341786
finetune,7,"biggrid50-goal(33,10)",5,"biggrid50-goal(27,3)",0.7724489569664001,0.29206334665757777
finetune,7,"biggrid50-goal(33,10)",6,"biggrid50-goal(3,31)",0.7853740453720093,0.2488094274487159
finetune,7,"biggrid50-goal(33,10)",7,"biggrid50-goal(33,10)",0.9591836333274841,0.8305082857968129
finetune,8,"biggrid50-goal(27,45)",0,"biggrid50-goal(40,31)",0.9190475344657898,0.7486797497228488
finetune,8,"biggrid50-goal(27,45)",1,"biggrid50-goal(9,31)",0.8585033416748047,0.31914874089897194
finetune,8,"biggrid50-goal(27,45)",2,"biggrid50-goal(15,31)",0.869387686252594,0.3735726931322037
finetune,8,"biggrid50-goal(27,45)",3,"biggrid50-goal(9,24)",0.8442175388336182,-0.026906839180154924
finetune,8,"biggrid50-goal(27,45)",4,"biggrid50-goal(21,17)",0.7438775300979614,0.10035841018212363
finetune,8,"biggrid50-goal(27,45)",5,"biggrid50-goal(27,3)",0.6965987086296082,0.056084771271257536
finetune,8,"biggrid50-goal(27,45)",6,"biggrid50-goal(3,31)",0.8806121349334717,0.5821426217045945
finetune,8,"biggrid50-goal(27,45)",7,"biggrid50-goal(33,10)",0.83299320936203,0.3064971349382102
finetune,8,"biggrid50-goal(27,45)",8,"biggrid50-goal(27,45)",0.7190475463867188,0.2170614690462222
finetune,9,"biggrid50-goal(21,45)",0,"biggrid50-goal(40,31)",0.778571367263794,0.31256572569400687
finetune,9,"biggrid50-goal(21,45)",1,"biggrid50-goal(9,31)",0.8659862875938416,0.35515505518981594
finetune,9,"biggrid50-goal(21,45)",2,"biggrid50-goal(15,31)",0.9268707036972046,0.649265931964956
finetune,9,"biggrid50-goal(21,45)",3,"biggrid50-goal(9,24)",0.8741495609283447,0.17040290910233918
finetune,9,"biggrid50-goal(21,45)",4,"biggrid50-goal(21,17)",0.7653061151504517,0.1756272701597091
finetune,9,"biggrid50-goal(21,45)",5,"biggrid50-goal(27,3)",0.6755101680755615,-0.009524028515712792
