method,task,task_name,phase,iter,frames_total,raw,normalized
finetune,0,"biggrid50-goal(40,31)",task1,10,10240,0.7867346405982971,0.33790894265434934
finetune,0,"biggrid50-goal(40,31)",task1,20,20480,0.8112243413925171,0.4139382234452467
finetune,0,"biggrid50-goal(40,31)",task1,30,30720,0.7999998927116394,0.37909146203920774
finetune,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.4677929989680037
finetune,0,"biggrid50-goal(40,31)",task1,50,51200,0.8285714387893677,0.4677929989680037
finetune,0,"biggrid50-goal(40,31)",task1,60,61440,0.8285714387893677,0.4677929989680037
finetune,0,"biggrid50-goal(40,31)",task1,70,71680,0.8285714387893677,0.4677929989680037
finetune,0,"biggrid50-goal(40,31)",task1,80,81920,0.8326530456542969,0.4804645149256424
finetune,0,"biggrid50-goal(40,31)",task1,90,92160,0.8755100965499878,0.6135159876160441
finetune,0,"biggrid50-goal(40,31)",task1,100,102400,0.7979592084884644,0.37275607415051826
finetune,0,"biggrid50-goal(40,31)",task1,110,112640,0.8326529264450073,0.48046414483551253
finetune,0,"biggrid50-goal(40,31)",task1,120,122880,0.9204081296920776,0.75290377342046
finetune,0,"biggrid50-goal(40,31)",task1,130,133120,0.8704080581665039,0.5976765001464631
finetune,0,"biggrid50-goal(40,31)",task1,140,143360,0.8591836094856262,0.5628297387404242
finetune,0,"biggrid50-goal(40,31)",task1,150,153600,0.8704080581665039,0.5976765001464631
finetune,0,"biggrid50-goal(40,31)",task1,160,163840,0.8897957801818848,0.6578664785128446
finetune,0,"biggrid50-goal(40,31)",task1,170,174080,0.984693706035614,0.9524809824560624
finetune,0,"biggrid50-goal(40,31)",task1,180,184320,0.9142855405807495,0.733895944348807
finetune,0,"biggrid50-goal(40,31)",task1,190,194560,0.9877549409866333,0.961984711946824
finetune,0,"biggrid50-goal(40,31)",task1,200,204800,0.9122447967529297,0.7275603714150526
finetune,0,"biggrid50-goal(40,31)",task1,210,215040,0.8326529264450073,0.48046414483551253
finetune,0,"biggrid50-goal(40,31)",task1,220,225280,0.9673468470573425,0.8986269471135653
finetune,0,"biggrid50-goal(40,31)",task1,230,235520,0.9081631898880005,0.7148888554574139
finetune,0,"biggrid50-goal(40,31)",task1,240,245760,0.960204005241394,0.8764517016651651
finetune,0,"biggrid50-goal(40,31)",task1,250,256000,0.9173467755317688,0.7433996738395685
finetune,1,"biggrid50-goal(9,31)",finetune,10,266240,0.8428570628166199,0.24386223740884633
finetune,1,"biggrid50-goal(9,31)",finetune,20,276480,0.890816330909729,0.47463184323029206
finetune,1,"biggrid50-goal(9,31)",finetune,30,286720,0.8846938014030457,0.4451715579285134
finetune,1,"biggrid50-goal(9,31)",finetune,40,296960,0.8826529383659363,0.43535136722637546
finetune,1,"biggrid50-goal(9,31)",finetune,50,307200,0.8826530575752258,0.43535194083564543
finetune,1,"biggrid50-goal(9,31)",finetune,60,317440,0.893877387046814,0.489360982064959
finetune,1,"biggrid50-goal(9,31)",finetune,70,327680,0.9122449159622192,0.5777415511656601
finetune,1,"biggrid50-goal(9,31)",finetune,80,337920,0.8948978185653687,0.4942710774160279
